City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
405,Port Hedland,AU,82.45,overcast clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
406,Itarema,BR,79.5,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
407,Singaraja,ID,79.97,light rain,-8.112,115.0882,Puri Bagus Lovina Resort
409,Shakawe,BW,67.35,light rain,-18.3667,21.85,Ditlhapi Guest House
410,Labuhan,ID,77.41,overcast clouds,-6.8844,112.2051,DoubleFAG
411,Latung,PH,81.48,overcast clouds,5.5,120.8833,
414,Port Lincoln,AU,71.69,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
416,Los Llanos De Aridane,ES,62.35,clear sky,28.6585,-17.9182,Valle Aridane
419,Morant Bay,JM,85.62,clear sky,17.8815,-76.4093,Whispering Bamboo Cove Resort
421,Am Timan,TD,75.27,overcast clouds,11.0297,20.2827,Palais du chef Canton Salamt
424,Kloulklubed,PW,75.7,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
427,Kroya,ID,77.32,overcast clouds,-7.6331,109.2461,RUSTANTO Fam
430,Lagos,NG,76.68,clear sky,6.5833,3.75,
439,San Quintin,MX,63.0,clear sky,30.4833,-115.95,Don Eddie's Landing
441,Juan Lacaze,UY,66.27,broken clouds,-34.4342,-57.4381,Posada Agreste
442,Siocon,PH,76.62,overcast clouds,7.7061,122.1353,ABS Hotel
445,Sao Filipe,CV,73.15,clear sky,14.8961,-24.4956,Hotel Xaguate
450,Acajutla,SV,85.8,few clouds,13.5928,-89.8275,Laureles
451,Porbandar,IN,66.29,clear sky,21.6422,69.6093,Lords Inn Porbandar
453,Kirakira,SB,83.95,overcast clouds,-10.4544,161.9205,SanBiz Lodge
456,Antofagasta,CL,69.08,clear sky,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
458,Bundaberg,AU,76.21,few clouds,-24.85,152.35,Takalvan Motel
459,Byron Bay,AU,71.06,light rain,-28.65,153.6167,Backpackers Inn
460,Zamora,EC,76.3,light rain,-4.0692,-78.9567,Cabañas Ecológicas Copalinga
470,Tenenkou,ML,73.26,clear sky,14.4572,-4.9169,
471,Badiraguato,MX,79.7,clear sky,25.3667,-107.5167,Restaurante La palma
472,Batemans Bay,AU,66.9,overcast clouds,-35.7167,150.1833,Batemans Bay Marina Resort
476,Jacqueville,CI,82.31,clear sky,5.2052,-4.4146,Hotel Le Martin Pecheur
480,Viedma,AR,62.47,broken clouds,-40.8135,-62.9967,Hotel Cristal
481,Paita,PE,74.43,clear sky,-5.0892,-81.1144,Hotel Náutico de Paita
483,San Vicente,AR,71.35,overcast clouds,-26.6167,-54.1333,Complejo Turístico Farelluk
484,Flinders,AU,71.2,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
487,Makakilo City,US,78.55,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
488,Canto Do Buriti,BR,78.46,scattered clouds,-8.11,-42.9444,Novo Hotel
489,Asbe Teferi,ET,60.21,clear sky,9.0833,40.8667,Megenagna hotel
491,Kandrian,PG,83.23,overcast clouds,-6.2167,149.55,Kandrian Station
492,Panubigan,PH,76.57,broken clouds,7.4281,123.3466,Parish Beach
494,Duiwelskloof,ZA,64.09,broken clouds,-23.6934,30.14,Silvermist Guesthouse
496,Nortelandia,BR,80.38,moderate rain,-14.4547,-56.8028,Hotel Karysmã
498,Bowen,AU,77.23,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
499,Kigoma,TZ,72.66,overcast clouds,-4.8769,29.6267,MJI Mwema Lodge
501,Tucurui,BR,75.92,moderate rain,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
505,Moree,AU,69.82,clear sky,-29.4667,149.85,Molika Springs Motel
506,Comodoro Rivadavia,AR,67.86,clear sky,-45.8667,-67.5,Austral Hotel
507,Antalaha,MG,74.8,moderate rain,-14.9003,50.2788,Hotel Vitasoa
510,Henties Bay,,66.85,few clouds,-22.116,14.2845,Fishermans Guest House
512,Victor Harbor,AU,78.73,broken clouds,-35.5667,138.6167,McCracken Country Club
513,Neiafu,TO,77.68,moderate rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
516,Walvis Bay,,67.08,light rain,-22.9575,14.5053,Oyster Box Guesthouse
519,Guerrero Negro,MX,70.09,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
520,Mkushi,ZM,60.67,broken clouds,-13.6202,29.3939,Mkushi Police Club
521,Jaisalmer,IN,63.55,clear sky,26.9147,70.9181,Hotel Fifu
522,Caravelas,BR,77.67,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
523,Ballina,AU,64.78,light rain,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
525,Anloga,GH,81.5,clear sky,5.7947,0.8973,Pin Drop Hotel
529,Ewo,CG,82.17,broken clouds,-0.8725,14.8206,Residence Elonda Ewo
532,Banamba,ML,71.98,clear sky,13.55,-7.45,Kassela de Banamba
536,Kota Belud,MY,76.86,broken clouds,6.351,116.4305,Tang Dynasty Lodge Kota Belud
538,The Valley,AI,77.09,overcast clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
539,Valparaiso,CL,80.83,clear sky,-33.0393,-71.6273,Hotel Ultramar
540,Tagbac,PH,69.1,scattered clouds,7.089,125.1567,Sitio Maupot Family Resort
